Tipo: 44, Lexema: _verano_, Linea: 0, Columna: 0
Tipo: 12, Lexema: abreregalo, Linea: 0, Columna: 9
Tipo: 13, Lexema: cierraregalo, Linea: 0, Columna: 20
Tipo: 7, Lexema: abrecuento, Linea: 0, Columna: 34
Tipo: 5, Lexema: cometa, Linea: 1, Columna: 4
Tipo: 45, Lexema: _stringVariable_, Linea: 1, Columna: 11
Tipo: 11, Lexema: entrega, Linea: 1, Columna: 28
Tipo: 50, Lexema: Hola, Linea: 1, Columna: 36
Tipo: 31, Lexema: finregalo, Linea: 1, Columna: 44
Tipo: 2, Lexema: rodolfo, Linea: 5, Columna: 4
Tipo: 45, Lexema: _hola_, Linea: 5, Columna: 12
Tipo: 11, Lexema: entrega, Linea: 5, Columna: 19
Tipo: 46, Lexema: 4, Linea: 5, Columna: 27
Tipo: 31, Lexema: finregalo, Linea: 5, Columna: 29
Tipo: 2, Lexema: rodolfo, Linea: 6, Columna: 4
Tipo: 45, Lexema: _adios_, Linea: 6, Columna: 12
Tipo: 11, Lexema: entrega, Linea: 6, Columna: 20
Tipo: 46, Lexema: 7, Linea: 6, Columna: 28
Tipo: 31, Lexema: finregalo, Linea: 6, Columna: 30
Tipo: 3, Lexema: trueno, Linea: 7, Columna: 4
Tipo: 45, Lexema: _bool_, Linea: 7, Columna: 11
Tipo: 11, Lexema: entrega, Linea: 7, Columna: 18
Tipo: 48, Lexema: true, Linea: 7, Columna: 26
Tipo: 31, Lexema: finregalo, Linea: 7, Columna: 31
Tipo: 2, Lexema: rodolfo, Linea: 8, Columna: 4
Tipo: 45, Lexema: _resultadoSuma_, Linea: 8, Columna: 12
Tipo: 11, Lexema: entrega, Linea: 8, Columna: 28
Tipo: 45, Lexema: _hola_, Linea: 8, Columna: 36
Tipo: 14, Lexema: navidad, Linea: 8, Columna: 43
Tipo: 45, Lexema: _adios_, Linea: 8, Columna: 51
Tipo: 31, Lexema: finregalo, Linea: 8, Columna: 59
Tipo: 2, Lexema: rodolfo, Linea: 9, Columna: 4
Tipo: 45, Lexema: _resultadoResta_, Linea: 9, Columna: 12
Tipo: 11, Lexema: entrega, Linea: 9, Columna: 29
Tipo: 45, Lexema: _hola_, Linea: 9, Columna: 37
Tipo: 15, Lexema: intercambio, Linea: 9, Columna: 44
Tipo: 45, Lexema: _adios_, Linea: 9, Columna: 56
Tipo: 31, Lexema: finregalo, Linea: 9, Columna: 64
Tipo: 2, Lexema: rodolfo, Linea: 10, Columna: 4
Tipo: 45, Lexema: _resultadoDivision_, Linea: 10, Columna: 12
Tipo: 11, Lexema: entrega, Linea: 10, Columna: 32
Tipo: 45, Lexema: _hola_, Linea: 10, Columna: 40
Tipo: 17, Lexema: reyes, Linea: 10, Columna: 47
Tipo: 46, Lexema: 3, Linea: 10, Columna: 53
Tipo: 31, Lexema: finregalo, Linea: 10, Columna: 55
Tipo: 2, Lexema: rodolfo, Linea: 11, Columna: 4
Tipo: 45, Lexema: _resultadoMultiplicacion_, Linea: 11, Columna: 12
Tipo: 11, Lexema: entrega, Linea: 11, Columna: 38
Tipo: 45, Lexema: _hola_, Linea: 11, Columna: 46
Tipo: 16, Lexema: nochebuena, Linea: 11, Columna: 53
Tipo: 46, Lexema: 5, Linea: 11, Columna: 64
Tipo: 31, Lexema: finregalo, Linea: 11, Columna: 66
Tipo: 2, Lexema: rodolfo, Linea: 12, Columna: 4
Tipo: 45, Lexema: _resultadoModulo_, Linea: 12, Columna: 12
Tipo: 11, Lexema: entrega, Linea: 12, Columna: 30
Tipo: 46, Lexema: 10, Linea: 12, Columna: 38
Tipo: 18, Lexema: magos, Linea: 12, Columna: 41
Tipo: 46, Lexema: 3, Linea: 12, Columna: 47
Tipo: 31, Lexema: finregalo, Linea: 12, Columna: 49
Tipo: 2, Lexema: rodolfo, Linea: 14, Columna: 4
Tipo: 45, Lexema: _operacionCompleja_, Linea: 14, Columna: 12
Tipo: 11, Lexema: entrega, Linea: 14, Columna: 32
Tipo: 45, Lexema: _hola_, Linea: 14, Columna: 40
Tipo: 14, Lexema: navidad, Linea: 14, Columna: 47
Tipo: 46, Lexema: 4, Linea: 14, Columna: 55
Tipo: 18, Lexema: magos, Linea: 14, Columna: 57
Tipo: 46, Lexema: 3, Linea: 14, Columna: 63
Tipo: 16, Lexema: nochebuena, Linea: 14, Columna: 65
Tipo: 45, Lexema: _adios_, Linea: 14, Columna: 76
Tipo: 31, Lexema: finregalo, Linea: 14, Columna: 84
Tipo: 2, Lexema: rodolfo, Linea: 15, Columna: 4
Tipo: 45, Lexema: _resultadoModulo2_, Linea: 15, Columna: 12
Tipo: 11, Lexema: entrega, Linea: 15, Columna: 31
Tipo: 46, Lexema: 10, Linea: 15, Columna: 39
Tipo: 18, Lexema: magos, Linea: 15, Columna: 42
Tipo: 46, Lexema: 3, Linea: 15, Columna: 48
Tipo: 31, Lexema: finregalo, Linea: 15, Columna: 50
Tipo: 8, Lexema: cierracuento, Linea: 18, Columna: 0
